Username,Repo_Name,Stars,Repo_url
flutter,flutter,163000,https://github.com/flutter/flutter
facebook,react-native,117000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,110000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,105000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,79500,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,52000,https://github.com/Solido/awesome-flutter
google,material-design-icons,50100,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,49600,https://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,49200,https://github.com/tldr-pages/tldr
square,okhttp,45400,https://github.com/square/okhttp
android,architecture-samples,44000,https://github.com/android/architecture-samples
laurent22,joplin,44000,https://github.com/laurent22/joplin
square,retrofit,42800,https://github.com/square/retrofit
appwrite,appwrite,42100,https://github.com/appwrite/appwrite
skylot,jadx,39900,https://github.com/skylot/jadx
dcloudio,uni-app,39600,https://github.com/dcloudio/uni-app
fastlane,fastlane,38800,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,37400,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34800,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,34800,https://github.com/airbnb/lottie-android
